Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Year,Month,Avg Price(CP+HP+LP),VWAP,Profit/Loss Percentage,Day_Perc_Change,trend
2019-07-03,1939.0,"1,935.89",1941.59,1930.5,1690000.0,2019,7,1937.03,1937.03,0.0024246372091340346,-0.0020124452496513845,Slight or no change
2019-07-02,1934.31,"1,919.38",1934.79,1906.63,2650000.0,2019,7,1925.243333333333,1925.243333333333,0.006305308008053258,-0.0024187725631769075,Slight or no change
2019-07-01,1922.19,"1,922.98",1929.82,1914.66,3200000.0,2019,7,1922.2233333333334,1922.2233333333334,0.015082143819014245,-0.006265800207825967,Slight or no change
2019-06-28,1893.63,"1,909.10",1912.94,1884.0,3040000.0,2019,6,1896.8566666666666,1896.8566666666666,-0.005592664944230819,-0.014858052533828547,Slight or no change
2019-06-27,1904.28,"1,902.00",1911.24,1898.04,2140000.0,2019,6,1904.5199999999998,1904.5199999999998,0.0033986184220926247,0.005624118756039964,Slight or no change
2019-06-26,1897.83,"1,892.48",1903.8,1887.32,2440000.0,2019,6,1896.3166666666666,1896.3166666666668,0.010413838266063956,-0.0033871069380553287,Slight or no change
2019-06-25,1878.27,"1,911.84",1916.38,1872.42,3010000.0,2019,6,1889.0233333333333,1889.0233333333333,-0.01861643764042014,-0.01030650795909005,Slight or no change
2019-06-24,1913.9,"1,912.66",1916.86,1901.3,2280000.0,2019,6,1910.6866666666667,1910.6866666666667,0.001360330664992485,0.018969583712671767,Slight or no change
2019-06-21,1911.3,"1,916.10",1925.95,1907.58,3930000.0,2019,6,1914.9433333333334,1914.9433333333334,-0.0035919278069430557,-0.001358482679345907,Slight or no change
2019-06-20,1918.19,"1,933.33",1935.2,1905.8,3220000.0,2019,6,1919.7300000000002,1919.7300000000002,0.004924585732322619,0.00360487626223005,Slight or no change
2019-06-19,1908.79,"1,907.84",1919.58,1892.47,2900000.0,2019,6,1906.9466666666667,1906.9466666666665,0.0039024492865670926,-0.0049004530312430905,Slight or no change
2019-06-18,1901.37,"1,901.35",1921.67,1899.79,3900000.0,2019,6,1907.61,1907.61,0.008133486741992395,-0.0038872793759398006,Slight or no change
