DHFL,IGL,PNB,TATAPOWER,VOLTAS,mov_avg_14,mov_std_14,Upper,Lower,Daily_Average_DHFL
616.6,326.7,183.7,95.85,636.5,625.0285714285716,8.701386146997484,642.4313437225666,607.6257991345766,618.6666666666666
618.2,325.55,181.6,95.05,643.4,623.9714285714288,8.55625534299583,641.0839392574204,606.8589178854371,618.8000000000001
616.55,326.6,176.1,94.7,636.6,622.4107142857144,7.668697075462292,637.7481084366391,607.0733201347898,616.9833333333332
599.95,317.5,171.5,90.25,616.4,620.0357142857144,9.087701507056558,638.2111172998276,601.8603112716013,610.8833333333333
590.65,333.0,173.2,89.85,610.4,617.8071428571429,11.975357022828803,641.7578569028005,593.8564288114853,593.1999999999999
596.65,327.0,175.95,88.9,620.95,616.4642857142857,13.246602301251144,642.9574903167879,589.9710811117834,591.0166666666665
586.0,324.3,172.1,87.4,599.8,613.7857142857143,15.340412046561244,644.4665383788368,583.1048901925918,588.2166666666667
601.85,332.6,173.9,90.85,617.6,611.3821428571429,14.275686796666676,639.9335164504762,582.8307692638095,597.0
601.05,327.8,172.7,91.6,625.75,608.7035714285714,12.145123495679833,632.9938184199311,584.4133244372117,603.0833333333333
600.1,328.0,172.95,93.55,625.7,607.1857142857143,11.76496475151691,630.7156437887481,583.6557847826805,601.3166666666667
582.05,322.5,173.7,90.55,629.35,604.4464285714286,12.86474706447844,630.1759227003854,578.7169344424717,586.2666666666667
576.25,322.1,167.8,90.25,619.6,601.4178571428572,14.1866894162608,629.7912359753788,573.0444783103356,580.0833333333334
586.95,319.5,169.6,90.5,616.95,599.2,13.817199426802791,626.8343988536056,571.5656011463944,584.4666666666667
591.75,318.85,171.6,91.2,631.55,597.4714285714286,13.053156327491417,623.5777412264115,571.3651159164458,593.25
602.4,326.2,178.75,91.1,629.45,596.4571428571428,11.958226282530973,620.3735954222047,572.5406902920809,593.9333333333334
609.7,327.95,178.75,91.1,633.35,595.85,10.941979851789249,617.7339597035785,573.9660402964215,608.5666666666667
607.0,328.15,170.5,90.85,637.6,595.1678571428572,9.789193554098269,614.7462442510538,575.5894700346606,611.75
600.5,328.95,173.5,91.0,649.6,595.2071428571428,9.810940853944594,614.829024565032,575.5852611492536,603.0666666666667
593.4,329.15,175.95,92.75,658.95,595.4035714285714,9.739954673046775,614.8834807746649,575.9236620824778,594.8666666666667
595.05,330.55,174.3,93.15,654.55,595.2892857142857,9.733589316847596,614.7564643479809,575.8221070805905,594.5833333333334
592.9,331.7,174.1,92.3,668.55,595.7821428571427,9.39587894817882,614.5739007535004,576.990384960785,595.95
585.7,328.35,170.8,92.05,656.15,594.6285714285714,9.583132503073681,613.7948364347187,575.462306422424,587.5166666666668
582.7,335.8,171.4,93.5,655.9,593.3178571428572,9.88735803443656,613.0925732117303,573.5431410739841,584.9
590.85,339.75,169.75,97.15,648.95,592.657142857143,9.706695887632572,612.0705346324081,573.2437510818778,591.1333333333333
583.4,335.2,166.4,99.7,647.4,592.7535714285715,9.599328187346742,611.952227803265,573.554915053878,584.9166666666666
587.65,332.75,166.6,100.8,643.6,593.5678571428572,8.513826021039083,610.5955091849354,576.540205100779,588.1666666666666
588.55,329.05,176.45,99.6,645.7,593.6821428571428,8.428468405966088,610.539079669075,576.8252060452106,587.8166666666666
611.5,329.85,176.0,99.55,646.35,595.092857142857,9.645203214810191,614.3832635724774,575.8024507132367,605.3000000000001
620.95,328.2,175.7,99.85,638.65,596.4178571428572,11.766994373817253,619.9518458904917,572.8838683952227,617.2833333333334
624.7,323.05,174.65,98.6,648.6,597.4892857142858,13.608257936487481,624.7058015872607,570.2727698413108,624.1666666666666
615.85,325.75,170.65,98.25,629.3,598.1214285714286,14.273344094794059,626.6681167610168,569.5747403818405,618.1833333333334
617.1,322.25,172.75,99.55,625.85,599.3071428571429,15.1487859013769,629.6047146598968,569.0095710543891,618.0833333333334
614.15,327.5,174.2,99.05,633.95,600.7892857142858,15.536497706660047,631.8622811276059,569.7162903009657,613.85
616.9,323.65,172.15,97.95,632.45,602.3500000000001,16.005984457745193,634.3619689154905,570.3380310845098,618.1
602.05,316.8,165.55,93.65,623.05,603.0035714285715,15.775583181781816,634.5547377921351,571.4524050650078,606.5166666666668
608.95,314.75,175.55,93.2,628.25,604.6642857142858,15.019556848060812,634.7033994104074,574.6251720181642,602.9333333333334
590.15,305.45,170.5,90.6,600.45,605.1964285714286,14.296051960187976,633.7885324918045,576.6043246510526,595.7166666666667
612.5,311.5,176.4,92.2,618.2,606.7428571428571,13.786683334387577,634.3162238116323,579.169490474082,603.4333333333334
631.05,309.7,176.0,92.1,624.95,610.1464285714285,13.458518381791157,637.0634653350108,583.2293918078461,627.6833333333333
613.85,312.35,185.8,92.5,625.55,612.0178571428571,11.81038667938211,635.6386305016214,588.3970837840928,618.5166666666668
578.85,313.25,194.65,91.8,611.1,611.325,13.46206564901926,638.2491312980386,584.4008687019615,584.0500000000001
595.8,307.3,180.9,89.95,615.1,610.2035714285714,14.085842104831388,638.3752556382342,582.0318872189087,590.35
596.25,310.35,173.95,90.05,615.45,608.4392857142857,14.182819761023174,636.804925236332,580.0736461922394,599.1833333333334
588.45,306.8,172.65,90.6,609.0,605.85,14.294377592930514,634.438755185861,577.261244814139,591.25
582.2,304.65,171.35,89.0,605.0,603.4464285714286,15.278749247614213,634.003927066657,572.8889300762002,584.7666666666668
568.35,302.9,167.55,89.7,607.05,599.9642857142857,17.343380787577164,634.65104728944,565.2775241391313,576.1333333333333
519.45,289.15,161.85,84.8,572.55,593.2,27.105271982232757,647.4105439644655,538.9894560355345,531.7166666666667
509.8,296.75,163.7,85.0,596.1,585.5500000000001,34.110228558421205,653.7704571168425,517.3295428831576,505.43333333333334
505.55,290.85,161.05,82.8,586.1,578.6571428571428,39.7958147062214,658.2487722695856,499.06551344470006,494.98333333333335
500.2,292.25,156.55,84.7,599.75,570.8892857142857,43.83649769563964,658.562281105565,483.21629032300643,505.2166666666667
513.4,290.2,159.35,85.05,600.2,565.407142857143,45.98878566121796,657.3847141795789,473.42957153470707,510.43333333333334
514.45,289.55,156.8,85.05,593.7,558.4035714285716,45.73063467526159,649.8648407790947,466.9423020780484,509.81666666666666
525.75,302.45,161.65,86.75,592.5,550.882142857143,41.308900173165156,633.4999432034733,468.26434251081264,525.1166666666667
552.0,307.75,145.85,87.1,601.75,546.4642857142859,37.15516543741071,620.7746165891073,472.15395483946446,549.0
553.05,304.2,128.25,86.25,583.75,544.6214285714286,36.04865683129817,616.718742234025,472.5241149088323,557.7333333333332
541.3,295.05,125.55,86.65,584.65,540.7285714285715,32.90218436918402,606.5329401669395,474.92420269020346,546.7666666666667
547.3,294.75,116.5,86.1,575.25,537.2321428571429,28.9064845476087,595.0451119523602,479.4191737619255,542.9333333333333
545.1,296.85,116.55,86.4,557.7,534.1357142857144,25.064543057501773,584.264800400718,484.0066281707108,546.9
557.35,293.9,117.3,86.35,582.5,532.3607142857144,22.103995275580818,576.568704836876,488.15272373455275,552.4833333333333
551.05,291.7,114.6,84.9,581.05,531.1250000000001,20.35135366883216,571.8277073376644,490.4222926623358,553.4833333333332
576.3,295.5,113.45,85.75,588.9,535.1857142857144,23.300597785097665,581.7869098559097,488.5845187155191,569.4333333333334
582.4,297.0,112.0,85.9,613.65,540.3714285714287,25.21630054521981,590.8040296618683,489.9388274809891,581.5333333333334
563.4,305.2,98.35,85.65,607.2,544.5035714285715,23.76963531876018,592.0428420660919,496.96430079105113,571.3166666666667
546.2,304.7,101.4,84.5,609.4,547.7892857142858,20.06503060791934,587.9193469301244,507.65922449844714,550.9166666666666
537.6,306.15,101.05,84.3,619.0,549.5178571428572,17.787718398496516,585.0932939398502,513.9424203458642,541.3166666666667
532.1,305.3,100.1,82.15,624.7,550.7785714285716,15.602301534929023,581.9831744984297,519.5739683587135,531.7666666666668
508.4,310.8,97.85,81.75,622.85,549.5392857142859,18.213743527807214,585.9667727699003,513.1117986586715,517.1
497.75,308.1,95.5,79.2,626.6,545.6642857142859,22.834660130966256,591.3336059762185,499.9949654523534,503.3833333333334
494.45,310.8,96.65,79.9,630.95,541.4785714285716,26.459771455825976,594.3981143402236,488.5590285169197,495.34999999999997
496.25,300.85,95.6,80.0,629.4,538.2607142857145,29.091607159847577,596.4439286054096,480.07749996601933,499.43333333333334
513.9,302.9,94.6,80.85,638.85,535.8750000000001,29.657316842690445,595.189633685381,476.5603663146192,510.90000000000003
516.15,303.6,97.95,81.35,639.75,533.8071428571429,29.97222340474951,593.751589666642,473.8626960476439,517.4499999999999
521.7,301.2,99.3,80.4,640.85,531.2607142857144,29.325600384512622,589.9119150547396,472.6095135166891,520.4833333333333
515.45,298.3,98.55,80.25,640.35,528.7178571428572,29.01951337623438,586.7568838953259,470.6788303903884,517.7833333333333
510.35,296.2,98.85,79.95,627.2,524.0071428571429,25.884899497159793,575.7769418514624,472.2373438628233,513.1333333333333
496.9,290.35,96.55,79.55,620.9,517.9,20.593641662491848,559.0872833249837,476.7127166750163,502.1333333333334
503.4,286.95,96.85,80.35,620.7,513.6142857142858,16.16294942348016,545.940184561246,481.2883868673254,502.31666666666666
520.2,294.35,97.6,79.95,613.35,511.75714285714287,13.385954998013212,538.5290528531693,484.98523286111646,519.0333333333333
517.7,291.25,96.55,80.0,614.55,510.3357142857143,11.329224098823477,532.9941624833613,487.6772660880673,522.3166666666667
495.15,282.0,93.15,80.0,604.25,507.6964285714285,10.106994232590937,527.9104170366104,487.4824401062466,497.68333333333334
502.5,282.1,95.8,79.9,613.9,507.275,10.197996598127926,527.6709931962558,486.8790068037441,499.56666666666666
521.75,280.2,99.45,80.1,623.2,508.9892857142857,10.486789832406055,529.9628653790978,488.0157060494736,517.6333333333333
510.15,279.45,95.3,79.0,620.9,510.1107142857142,9.615675874711904,529.342066035138,490.8793625362904,513.7166666666667
523.05,279.35,96.3,81.9,638.5,512.025,9.306733501158309,530.6384670023166,493.41153299768337,520.4666666666667
533.6,278.05,95.45,84.45,647.85,513.4321428571428,10.955304425482147,535.3427517081071,491.5215340061785,529.6999999999999
521.35,281.25,94.4,83.05,618.0,513.8035714285714,11.141113469519237,536.0857983676099,491.52134448953296,527.6166666666667
540.3,289.85,97.0,83.5,631.2,515.132142857143,13.093195636591746,541.3185341303265,488.94575158395946,537.8666666666667
539.35,296.65,102.15,84.5,631.75,516.8392857142859,14.60825870963118,546.0558031335482,487.62276829502355,539.5666666666667
530.55,303.5,105.25,85.0,634.6,518.282142857143,14.912418768145091,548.1069803934331,488.45730532085275,535.4666666666666
535.4,296.05,105.2,87.1,633.55,521.032142857143,14.198843494927623,549.4298298469982,492.6344558672877,535.15
531.0,294.7,102.2,87.0,632.45,523.0035714285716,13.459189944275447,549.9219513171225,496.08519154002073,532.45
527.4,289.85,101.25,87.85,638.8,523.5178571428572,13.48136330618858,550.4805837552344,496.5551305304801,530.8000000000001
547.55,293.75,101.3,87.65,638.1,525.6500000000002,14.787637768395326,555.2252755367908,496.0747244632096,541.65
573.2,295.75,99.15,87.8,647.1,531.2250000000001,16.957840823190185,565.1406816463805,497.30931835361974,563.7
589.55,293.25,97.95,87.45,637.45,537.4428571428573,21.0746006180148,579.5920583788869,495.29365590682767,584.9166666666666
593.15,293.05,97.15,87.65,643.0,542.5428571428573,25.21703375119342,592.9769246452441,492.1087896404705,595.85
591.1,294.8,96.1,86.8,640.4,548.3250000000002,26.467859682148095,601.2607193642964,495.389280635704,593.1666666666666
585.3,294.4,93.6,85.9,635.9,552.7714285714287,27.116066159309987,607.0035608900487,498.53929625280875,584.9166666666666
581.35,294.95,94.1,85.4,654.6,556.1821428571429,27.51920034017465,611.2205435374922,501.14374217679364,586.2333333333333
584.15,299.75,93.15,85.25,638.8,560.6678571428572,26.50428562692147,613.6764283967001,507.65928588901426,585.3833333333333
609.15,297.15,92.3,86.05,637.65,565.5857142857143,28.728540007961396,623.0427943016371,508.1286342697915,603.9333333333333
